k_neighbors: 1, Depth: 1, Accuracy: 56.45%
k_neighbors: 1, Depth: 2, Accuracy: 77.00%
k_neighbors: 1, Depth: 3, Accuracy: 78.40%
k_neighbors: 1, Depth: 4, Accuracy: 78.75%
k_neighbors: 1, Depth: 5, Accuracy: 81.18%
k_neighbors: 1, Depth: 6, Accuracy: 83.62%
k_neighbors: 1, Depth: 7, Accuracy: 83.97%
k_neighbors: 1, Depth: 8, Accuracy: 84.32%
k_neighbors: 1, Depth: 9, Accuracy: 82.93%
k_neighbors: 1, Depth: 10, Accuracy: 84.32%
k_neighbors: 1, Depth: 11, Accuracy: 83.62%
k_neighbors: 1, Depth: 12, Accuracy: 83.28%
k_neighbors: 1, Depth: 13, Accuracy: 84.32%
k_neighbors: 1, Depth: 14, Accuracy: 84.67%
k_neighbors: 1, Depth: 15, Accuracy: 82.58%
k_neighbors: 1, Depth: 16, Accuracy: 83.97%
k_neighbors: 1, Depth: 17, Accuracy: 83.97%
k_neighbors: 1, Depth: 18, Accuracy: 83.97%
k_neighbors: 1, Depth: 19, Accuracy: 83.97%
k_neighbors: 1, Depth: 20, Accuracy: 84.32%
k_neighbors: 2, Depth: 1, Accuracy: 66.55%
k_neighbors: 2, Depth: 2, Accuracy: 77.35%
k_neighbors: 2, Depth: 3, Accuracy: 79.09%
k_neighbors: 2, Depth: 4, Accuracy: 80.14%
k_neighbors: 2, Depth: 5, Accuracy: 81.18%
k_neighbors: 2, Depth: 6, Accuracy: 81.53%
k_neighbors: 2, Depth: 7, Accuracy: 83.28%
k_neighbors: 2, Depth: 8, Accuracy: 82.58%
k_neighbors: 2, Depth: 9, Accuracy: 83.28%
k_neighbors: 2, Depth: 10, Accuracy: 82.23%
k_neighbors: 2, Depth: 11, Accuracy: 82.58%
k_neighbors: 2, Depth: 12, Accuracy: 83.97%
k_neighbors: 2, Depth: 13, Accuracy: 83.62%
k_neighbors: 2, Depth: 14, Accuracy: 83.28%
k_neighbors: 2, Depth: 15, Accuracy: 83.62%
k_neighbors: 2, Depth: 16, Accuracy: 83.97%
k_neighbors: 2, Depth: 17, Accuracy: 83.28%
k_neighbors: 2, Depth: 18, Accuracy: 83.62%
k_neighbors: 2, Depth: 19, Accuracy: 83.97%
k_neighbors: 2, Depth: 20, Accuracy: 84.32%
k_neighbors: 3, Depth: 1, Accuracy: 63.41%
k_neighbors: 3, Depth: 2, Accuracy: 77.00%
k_neighbors: 3, Depth: 3, Accuracy: 79.79%
k_neighbors: 3, Depth: 4, Accuracy: 80.14%
k_neighbors: 3, Depth: 5, Accuracy: 81.53%
k_neighbors: 3, Depth: 6, Accuracy: 81.18%
k_neighbors: 3, Depth: 7, Accuracy: 84.32%
k_neighbors: 3, Depth: 8, Accuracy: 83.97%
k_neighbors: 3, Depth: 9, Accuracy: 82.93%
k_neighbors: 3, Depth: 10, Accuracy: 83.62%
k_neighbors: 3, Depth: 11, Accuracy: 82.93%
k_neighbors: 3, Depth: 12, Accuracy: 83.97%
k_neighbors: 3, Depth: 13, Accuracy: 84.67%
k_neighbors: 3, Depth: 14, Accuracy: 82.23%
k_neighbors: 3, Depth: 15, Accuracy: 83.97%
k_neighbors: 3, Depth: 16, Accuracy: 82.93%
k_neighbors: 3, Depth: 17, Accuracy: 83.62%
k_neighbors: 3, Depth: 18, Accuracy: 83.62%
k_neighbors: 3, Depth: 19, Accuracy: 83.62%
k_neighbors: 3, Depth: 20, Accuracy: 83.62%
k_neighbors: 4, Depth: 1, Accuracy: 58.54%
k_neighbors: 4, Depth: 2, Accuracy: 76.66%
k_neighbors: 4, Depth: 3, Accuracy: 79.79%
k_neighbors: 4, Depth: 4, Accuracy: 79.79%
k_neighbors: 4, Depth: 5, Accuracy: 81.53%
k_neighbors: 4, Depth: 6, Accuracy: 83.62%
k_neighbors: 4, Depth: 7, Accuracy: 83.28%
k_neighbors: 4, Depth: 8, Accuracy: 83.97%
k_neighbors: 4, Depth: 9, Accuracy: 82.58%
k_neighbors: 4, Depth: 10, Accuracy: 82.93%
k_neighbors: 4, Depth: 11, Accuracy: 83.62%
k_neighbors: 4, Depth: 12, Accuracy: 82.93%
k_neighbors: 4, Depth: 13, Accuracy: 83.97%
k_neighbors: 4, Depth: 14, Accuracy: 83.62%
k_neighbors: 4, Depth: 15, Accuracy: 82.58%
k_neighbors: 4, Depth: 16, Accuracy: 82.23%
k_neighbors: 4, Depth: 17, Accuracy: 82.58%
k_neighbors: 4, Depth: 18, Accuracy: 82.93%
k_neighbors: 4, Depth: 19, Accuracy: 82.93%
k_neighbors: 4, Depth: 20, Accuracy: 83.28%
k_neighbors: 5, Depth: 1, Accuracy: 73.52%
k_neighbors: 5, Depth: 2, Accuracy: 75.96%
k_neighbors: 5, Depth: 3, Accuracy: 78.40%
k_neighbors: 5, Depth: 4, Accuracy: 79.79%
k_neighbors: 5, Depth: 5, Accuracy: 80.84%
k_neighbors: 5, Depth: 6, Accuracy: 82.23%
k_neighbors: 5, Depth: 7, Accuracy: 84.32%
k_neighbors: 5, Depth: 8, Accuracy: 83.28%
k_neighbors: 5, Depth: 9, Accuracy: 83.28%
k_neighbors: 5, Depth: 10, Accuracy: 83.28%
k_neighbors: 5, Depth: 11, Accuracy: 85.02%
k_neighbors: 5, Depth: 12, Accuracy: 83.97%
k_neighbors: 5, Depth: 13, Accuracy: 84.32%
k_neighbors: 5, Depth: 14, Accuracy: 82.93%
k_neighbors: 5, Depth: 15, Accuracy: 84.67%
k_neighbors: 5, Depth: 16, Accuracy: 84.32%
k_neighbors: 5, Depth: 17, Accuracy: 85.37%
k_neighbors: 5, Depth: 18, Accuracy: 84.32%
k_neighbors: 5, Depth: 19, Accuracy: 84.67%
k_neighbors: 5, Depth: 20, Accuracy: 84.67%
