k_neighbors: 1, Depth: 1, Accuracy: 56.25%
k_neighbors: 1, Depth: 2, Accuracy: 76.00%
k_neighbors: 1, Depth: 3, Accuracy: 77.50%
k_neighbors: 1, Depth: 4, Accuracy: 77.75%
k_neighbors: 1, Depth: 5, Accuracy: 81.25%
k_neighbors: 1, Depth: 6, Accuracy: 84.50%
k_neighbors: 1, Depth: 7, Accuracy: 85.75%
k_neighbors: 1, Depth: 8, Accuracy: 86.50%
k_neighbors: 1, Depth: 9, Accuracy: 87.25%
k_neighbors: 1, Depth: 10, Accuracy: 87.00%
k_neighbors: 1, Depth: 11, Accuracy: 87.75%
k_neighbors: 1, Depth: 12, Accuracy: 87.75%
k_neighbors: 1, Depth: 13, Accuracy: 87.50%
k_neighbors: 1, Depth: 14, Accuracy: 88.00%
k_neighbors: 1, Depth: 15, Accuracy: 86.75%
k_neighbors: 1, Depth: 16, Accuracy: 87.00%
k_neighbors: 1, Depth: 17, Accuracy: 87.50%
k_neighbors: 1, Depth: 18, Accuracy: 87.25%
k_neighbors: 1, Depth: 19, Accuracy: 87.25%
k_neighbors: 1, Depth: 20, Accuracy: 87.50%
k_neighbors: 2, Depth: 1, Accuracy: 56.50%
k_neighbors: 2, Depth: 2, Accuracy: 75.75%
k_neighbors: 2, Depth: 3, Accuracy: 77.00%
k_neighbors: 2, Depth: 4, Accuracy: 77.00%
k_neighbors: 2, Depth: 5, Accuracy: 82.50%
k_neighbors: 2, Depth: 6, Accuracy: 82.25%
k_neighbors: 2, Depth: 7, Accuracy: 85.25%
k_neighbors: 2, Depth: 8, Accuracy: 86.75%
k_neighbors: 2, Depth: 9, Accuracy: 86.50%
k_neighbors: 2, Depth: 10, Accuracy: 86.50%
k_neighbors: 2, Depth: 11, Accuracy: 86.75%
k_neighbors: 2, Depth: 12, Accuracy: 86.50%
k_neighbors: 2, Depth: 13, Accuracy: 87.50%
k_neighbors: 2, Depth: 14, Accuracy: 87.00%
k_neighbors: 2, Depth: 15, Accuracy: 87.50%
k_neighbors: 2, Depth: 16, Accuracy: 86.75%
k_neighbors: 2, Depth: 17, Accuracy: 86.50%
k_neighbors: 2, Depth: 18, Accuracy: 86.25%
k_neighbors: 2, Depth: 19, Accuracy: 86.25%
k_neighbors: 2, Depth: 20, Accuracy: 86.50%
k_neighbors: 3, Depth: 1, Accuracy: 53.75%
k_neighbors: 3, Depth: 2, Accuracy: 74.75%
k_neighbors: 3, Depth: 3, Accuracy: 76.50%
k_neighbors: 3, Depth: 4, Accuracy: 77.25%
k_neighbors: 3, Depth: 5, Accuracy: 81.00%
k_neighbors: 3, Depth: 6, Accuracy: 84.00%
k_neighbors: 3, Depth: 7, Accuracy: 84.75%
k_neighbors: 3, Depth: 8, Accuracy: 86.75%
k_neighbors: 3, Depth: 9, Accuracy: 87.25%
k_neighbors: 3, Depth: 10, Accuracy: 87.00%
k_neighbors: 3, Depth: 11, Accuracy: 86.25%
k_neighbors: 3, Depth: 12, Accuracy: 87.00%
k_neighbors: 3, Depth: 13, Accuracy: 87.75%
k_neighbors: 3, Depth: 14, Accuracy: 87.75%
k_neighbors: 3, Depth: 15, Accuracy: 88.25%
k_neighbors: 3, Depth: 16, Accuracy: 88.25%
k_neighbors: 3, Depth: 17, Accuracy: 87.75%
k_neighbors: 3, Depth: 18, Accuracy: 87.50%
k_neighbors: 3, Depth: 19, Accuracy: 87.50%
k_neighbors: 3, Depth: 20, Accuracy: 87.75%
k_neighbors: 4, Depth: 1, Accuracy: 53.50%
