k_neighbors: 1, Depth: 1, Accuracy: 49.06%
k_neighbors: 1, Depth: 2, Accuracy: 73.75%
k_neighbors: 1, Depth: 3, Accuracy: 75.00%
k_neighbors: 1, Depth: 4, Accuracy: 77.19%
k_neighbors: 1, Depth: 5, Accuracy: 79.38%
k_neighbors: 1, Depth: 6, Accuracy: 82.81%
k_neighbors: 1, Depth: 7, Accuracy: 83.44%
k_neighbors: 1, Depth: 8, Accuracy: 83.75%
k_neighbors: 1, Depth: 9, Accuracy: 84.38%
k_neighbors: 1, Depth: 10, Accuracy: 85.00%
k_neighbors: 1, Depth: 11, Accuracy: 83.75%
k_neighbors: 1, Depth: 12, Accuracy: 84.38%
k_neighbors: 1, Depth: 13, Accuracy: 85.00%
k_neighbors: 1, Depth: 14, Accuracy: 83.75%
k_neighbors: 1, Depth: 15, Accuracy: 84.69%
k_neighbors: 1, Depth: 16, Accuracy: 84.38%
k_neighbors: 1, Depth: 17, Accuracy: 84.69%
k_neighbors: 1, Depth: 18, Accuracy: 84.69%
k_neighbors: 1, Depth: 19, Accuracy: 84.38%
k_neighbors: 1, Depth: 20, Accuracy: 84.38%
k_neighbors: 2, Depth: 1, Accuracy: 52.81%
k_neighbors: 2, Depth: 2, Accuracy: 74.69%
k_neighbors: 2, Depth: 3, Accuracy: 75.31%
k_neighbors: 2, Depth: 4, Accuracy: 76.88%
k_neighbors: 2, Depth: 5, Accuracy: 79.69%
k_neighbors: 2, Depth: 6, Accuracy: 83.12%
k_neighbors: 2, Depth: 7, Accuracy: 84.38%
k_neighbors: 2, Depth: 8, Accuracy: 85.00%
k_neighbors: 2, Depth: 9, Accuracy: 83.75%
k_neighbors: 2, Depth: 10, Accuracy: 84.69%
k_neighbors: 2, Depth: 11, Accuracy: 85.00%
k_neighbors: 2, Depth: 12, Accuracy: 85.00%
k_neighbors: 2, Depth: 13, Accuracy: 85.00%
k_neighbors: 2, Depth: 14, Accuracy: 85.00%
k_neighbors: 2, Depth: 15, Accuracy: 86.25%
k_neighbors: 2, Depth: 16, Accuracy: 85.62%
k_neighbors: 2, Depth: 17, Accuracy: 85.62%
k_neighbors: 2, Depth: 18, Accuracy: 85.31%
k_neighbors: 2, Depth: 19, Accuracy: 85.62%
k_neighbors: 2, Depth: 20, Accuracy: 85.62%
k_neighbors: 3, Depth: 1, Accuracy: 51.88%
k_neighbors: 3, Depth: 2, Accuracy: 74.38%
k_neighbors: 3, Depth: 3, Accuracy: 76.88%
k_neighbors: 3, Depth: 4, Accuracy: 79.38%
k_neighbors: 3, Depth: 5, Accuracy: 79.69%
k_neighbors: 3, Depth: 6, Accuracy: 83.44%
k_neighbors: 3, Depth: 7, Accuracy: 84.38%
k_neighbors: 3, Depth: 8, Accuracy: 83.75%
k_neighbors: 3, Depth: 9, Accuracy: 84.38%
k_neighbors: 3, Depth: 10, Accuracy: 85.00%
k_neighbors: 3, Depth: 11, Accuracy: 84.06%
k_neighbors: 3, Depth: 12, Accuracy: 84.69%
k_neighbors: 3, Depth: 13, Accuracy: 84.06%
k_neighbors: 3, Depth: 14, Accuracy: 85.00%
k_neighbors: 3, Depth: 15, Accuracy: 85.00%
k_neighbors: 3, Depth: 16, Accuracy: 84.69%
k_neighbors: 3, Depth: 17, Accuracy: 85.00%
k_neighbors: 3, Depth: 18, Accuracy: 85.00%
