h2,ch4,c2h6,c2h4,c2h2,act
117,17,1,3,1,6
407,28,15,21,0.001,6
183,6,0.001,5,0.001,6
166,21,38,6,0.001,6
105,23,13,4,3,6
110,7,0.001,0.001,0.001,6
111.7,19.4,104.1,6.4,3.8,6
181.5,22,76,3.7,0.001,6
230,15.9,16.3,1.9,2.4,6
101,8.1,0.001,3,0.001,6
134,13,156,0.001,0.001,6
1549.2,10.2,0.001,53.19,0.001,6
1458,9,1812,0.001,0.001,6
195,5.3,0.001,0.001,0.001,6
197,12,6.6,15,0.001,6
106,4,2,1,0.001,6
109,4,11,9,0.001,6
109,16,0.001,0.001,0.001,6
116,14,134,5.3,0.001,6
100,18,0.001,0.001,0.001,6
113,21,48,0.001,4,6
103.5,4.7,16.3,3.5,0.001,6
160,24.7,38.5,0.001,0.001,6
134,13,267,0.001,0.001,6
235,16,0.001,35,0.001,6
187,5,1,0.001,0.001,6
121,3,1,0.001,0.001,6
2510,202,139,208,1730,3
109,19,5,12,59,3
135,27,24,9,13,3
174,27,6,12,29,3
179,29,10,17,33,3
142,17,4,7,38,3
595,32,4,18,65,3
720,7,0.001,15,101,3
163,26,7,19,133,3
153,18,9,0.001,278,3
111,2.8,47,0.001,27.5,3
124,14,4,0.001,13,3
143,5.8,16,10.6,26.3,3
137,6,11.4,6.4,16.5,3
102,6,6,7,10,3
115,25.5,110,12.2,8.6,3
169,38,48.5,6.5,5.8,3
186,38.3,13,37,85.9,3
151,13.5,50.7,5,9.2,3
716,7.1,3.3,20,6.8,3
716,7.1,33,20,6.8,3
476,28,27,36,148,3
289,13.4,18.2,49.8,36.3,3
3559,187,22,230,1140,3
4879,262,15,332,1827,3
4127,267,18,355,2060,3
843,133,12,168,385,3
137,33,8,29,111,3
315,60,14,93,218,3
818,94,49,121,978,3
500,97,193,40,121,3
119,8,20,0.001,21,3
205,20,8,0.001,6,3
119,8,23.3,7.9,12.3,3
256,8,37.4,15,21.1,3
153,18,9,0.001,11,3
301,5.78,4.7,9.7,5,3
208,7.6,27.5,9.7,14.4,3
254,5.2,0.001,9.3,88,3
385,28.8,50,82.3,171,3
225,4.7,0.001,8.7,89,3
179,39.3,64,654,168,3
47,9,4,16,81,1
84,6,1,14,86,1
629,402,16,298,1127,1
35,11,0.001,7,146,1
64,18,1,4,122,1
63,22,15,11,76,1
30,14,1,9,43,1
323,115,7,130,446,1
