h2,ch4,c2h6,c2h4,c2h2,act
200.83,59.45,41.0,40.48,150.84,1
71.6,20.2,2.7,34.6,44.2,1
29.3,24.9,7.3,11.4,7.5,1
255.0,48.0,8.3,33.0,29.8,1
138.5,68.4,0.0,193.6,137.0,1
151.0,51.0,16.0,12.0,19.0,1
0.0001,21.0,0.0001,0.0001,40.0,1
29.1,11.4,1.41,20.34,37.6,1
189.0,157.0,17.0,62.0,7.4,1
35.0,11.0,0.001,7.0,146.0,1
41.0,16.0,19.0,58.0,106.0,1
123.0,50.7,9.0,62.0,65.9,1
201.0,36.0,6.0,32.3,47.2,1
188.0,236.0,18.1,237.0,31.8,1
65.4,20.2,70.0,39.0,40.2,1
150.0,80.0,235.0,105.0,35.0,1
77.0,36.0,27.0,18.0,76.0,1
75.0,5.0,31.0,69.0,36.0,1
420.0,200.0,14.0,230.0,180.0,1
615.0,200.0,42.0,102.0,68.0,1
10.0,15.0,0.001,0.001,35.0,1
17.0118,13.7574,3.0695,39.571,26.5902,1
512.0,87.0,11.5,163.9,185.21,1
46.0,37.2,8.3,107.0,71.9,1
100.0,94.0,22.0,304.0,118.0,1
70.0,4.0,91.0,0.001,34.0,1
44.964,8.0935,1.0941,18.8849,26.9784,1
32.5967,15.4696,4.9724,38.674,8.2873,1
61.0,21.0,2.0,26.0,89.0,1
39.0,123.0,15.0,121.0,109.0,1
20.39,17.18,1.77,24.72,35.96,1
43.0,19.0,3.0,0.001,40.0,1
46.0,21.0,1.0,11.0,93.0,1
51.2,37.6,5.1,52.8,51.6,1
191.0,62.0,27.0,123.0,71.0,1
260.0,130.0,26.0,84.0,92.0,1
18.5,4.61,0.8,4.2,7.5,1
212.0,38.0,15.0,47.0,78.0,1
120.0,31.0,0.001,66.0,94.0,1
49.0,41.6,25.1,124.0,15.7,1
170.0,24.0,7.0,17.0,54.0,1
88.0,45.0,57.0,15.0,39.0,1
139.0,52.2,6.8,62.8,9.6,1
26.6,4.0,0.0001,8.0,50.0,1
164.0,25.0,6.1,11.4,13.5,1
102.0,3.9,0.8,7.7,39.2,1
156.0,55.0,103.0,13.0,16.0,1
22.0,14.0,19.0,6.0,56.0,1
162.0,35.0,5.6,30.0,44.0,1
34.45,21.92,3.19,44.96,19.62,1
21.0,34.0,5.0,47.0,62.0,1
550.4,70.3,9.4,136.7,100.8,1
48.0,20.0,69.0,41.0,31.0,1
57.0,15.0,3.1,23.0,25.3,1
62.3063,11.1903,1.8599,10.0123,14.6311,1
70.0,4.0,91.0,0.0001,34.0,1
217.5,40.0,4.9,51.8,67.5,1
98.0,252.0,95.0,646.0,22.0,1
85.0,26.1,12.9,21.0,48.0,1
158.0,35.0,25.0,10.0,79.0,1
34.0,21.0,4.0,49.0,56.0,1
279.0,41.0,9.7,42.0,34.0,1
531.0,111.9,22.7,122.5,169.0,1
12.64,4.58,5.82,3.954,4.75,1
18.34,16.26,3.38,17.95,16.42,1
32.4,5.5,1.4,12.6,13.2,1
594.0,230.0,44.0,130.0,102.0,1
88.5,22.8,108.4,12.0,7.5,1
