h2,ch4,c2h6,c2h4,c2h2,act
35.0,283.0,121.0,222.0,0.0001,5
56.6,366.5,161.5,519.3,1.4,2
19.0,62.0,95.0,5.0,0.0001,4
65.0,61.0,16.0,143.0,3.0,2
148.7,247.5,178.7,192.2,0.9,4
10.0,7.0,5.0,5.0,53.0,3
142.0,17.0,4.0,7.0,38.0,3
980.0,73.0,58.0,12.0,0.001,6
15.0,7.0,92.0,5.0,0.001,4
21.0,20.0,2.0,61.0,8.0,2
289.0,13.4,18.2,49.8,36.3,3
135.65,278.53,58.86,492.0,2.95,2
86.0,8.0,2.5,2.5,0.0001,4
55.3,399.4,203.7,610.8,1.7,2
56.0,144.0,2.0,164.0,36.0,2
37.0,11.8,15.5,43.6,83.3,1
50.0,274.0,95.0,320.0,6.3,5
64.0,18.0,1.0,4.0,122.0,1
19.2,77.1,12.6,96.6,0.0,2
164.0,25.0,6.1,11.4,13.5,1
41.0,65.0,22.0,58.0,0.001,5
25.67,145.84,22.31,206.03,1.49,2
4.7,112.9,60.6,144.1,0.0,5
78.0,20.0,11.0,13.0,28.0,3
30.32,304.5,65.82,418.06,0.95,2
7.0,15.0,78.0,58.0,0.0001,4
15.9,81.3,14.8,114.2,0.0,2
78.0,161.0,86.0,353.0,10.0,2
3.4,115.8,53.0,134.1,0.0,5
60.0,40.0,10.0,110.0,70.0,1
160.0,130.0,33.0,96.0,0.1,5
111.7,19.4,104.1,6.4,3.8,6
14.0,15.0,42.0,73.0,0.001,5
17.0,17.0,2.0,57.0,7.0,2
17.8,209.4,113.8,302.2,0.9,5
1.8,118.2,75.9,148.5,0.0,5
13.0,105.0,4.0,27.0,8.0,2
21.8,120.7,86.6,42.1,0.9,4
300.0,85.0,50.0,197.0,159.0,1
74.0,187.0,2.0,388.0,26.0,2
95.0,110.0,160.0,50.0,0.001,4
27.0,30.0,23.0,2.4,0.1,4
51.0,589.0,190.0,685.0,0.0,2
22.4,22.4,2.69,13.44,1.57,2
137.0,6.0,11.4,6.4,16.5,3
39.0,7.0,12.0,65.0,0.001,2
150.0,80.0,235.0,105.0,35.0,1
16.0,68.0,157.0,19.0,0.0001,4
75.0,32.0,7.5,23.0,3.4,3
17.0,50.6,10.1,3.6,0.0,2
380.0,9.7,3.1,2.4,0.5,3
34.0,8.6,70.3,3.1,0.001,4
117.0,17.0,1.0,3.0,1.0,6
95.42,108.13,29.2,193.42,0.0,2
4.0,1.0,2.0,7.0,52.0,3
93.5,131.9,39.0,11.7,0.001,4
27.0,16.0,23.0,127.0,98.0,3
72.0,733.0,229.0,877.0,0.0,2
16.5,89.2,14.6,118.1,0.0,2
78.0,161.0,86.0,353.0,10.0,2
980.0,73.0,58.0,12.0,0.0,6
19.0,62.0,95.0,5.0,0.001,4
160.0,24.7,38.5,0.001,0.001,6
130.0,270.0,3.0,500.0,67.0,2
100.0,200.0,110.0,670.0,11.0,2
87.0,500.0,26.0,520.0,9.0,2
72.0,442.0,221.0,461.0,0.7,4
81.0,130.0,230.0,74.0,2.9,2
74.0,100.0,85.0,17.0,0.001,4
137.0,33.0,8.0,29.0,111.0,3
15.9,210.4,102.0,279.8,1.1,5
29.2,226.4,110.3,311.3,2.1,5
3.5,84.3,27.7,122.0,0.4,2
143.0,305.0,78.0,721.0,2.0,2
4.3,142.1,88.1,177.6,0.1,5
217.5,40.0,4.9,51.8,67.5,1
198.0,39.0,7.1,27.0,22.5,1
46.9,161.6,94.1,193.0,0.56,4
27.0,90.0,42.0,63.0,0.2,5
61.3944,10.8221,4.1623,10.4058,13.2154,3
111.0,2.8,47.0,0.001,27.5,3
26.6,4.0,0.0001,8.0,50.0,1
127.0,24.0,0.001,32.0,81.0,1
29.33,313.0,117.7,522.26,1.45,2
500.0,97.0,193.0,40.0,121.0,3
3.162,186.1108,91.1862,226.6299,0.3633,5
305.0,85.0,25.0,197.0,130.0,1
205.0,20.0,8.0,0.001,6.0,3
22.1,118.9,33.5,97.3,8.0,4
16.0,7.0,9.0,23.0,78.0,3
73.0,18.5,1.4,28.7,24.7,1
305.0,85.0,25.0,197.0,130.0,1
185.0,302.0,27.0,33.0,0.0001,5
36.0,21.0,65.0,2.0,0.0001,4
183.0,6.0,0.0001,5.0,0.0001,6
9.0,3.9,0.8,4.0,13.0,3
50.0,274.0,95.0,320.0,6.3,5
137.0,6.0,11.4,6.4,16.5,3
11.0,271.0,465.0,32.0,0.001,4
111.0,559.0,243.0,707.0,0.0,5
0.0001,153.0,395.0,11.7,0.0001,4
4.23,11.75,0.0,2.65,9.11,1
5.3,119.6,60.6,139.1,0.0,5
180.85,0.574,0.234,0.188,0.0001,6
69.0,174.0,267.0,15.0,0.0001,4
1.5,120.5,41.7,148.0,0.0,2
14.0,14.0,124.0,7.0,1.0,4
32.4,5.5,1.4,12.6,13.2,1
108.0,205.0,52.0,234.0,0.0,2
15.8,82.7,14.5,127.7,0.3,2
4.1,122.7,59.0,142.6,0.0,5
34.0,174.0,52.0,361.0,0.001,2
650.0,53.0,35.0,20.0,0.001,6
16.0,68.0,124.0,15.0,0.001,4
385.0,28.8,50.0,82.3,171.0,3
9.0,56.0,135.0,7.0,1.0,4
9.0,139.7,80.8,180.8,0.0,5
43.0,28.0,72.0,9.0,0.001,4
115.0,25.5,110.0,12.2,8.6,3
103.5,4.7,16.3,3.5,0.001,6
228.0,380.0,82.0,1012.0,19.0,2
10.0,4.0,1.0,87.0,0.001,2
6.0,38.0,93.0,32.0,0.001,4
47.0,9.0,4.0,16.0,81.0,1
23.0,63.0,54.0,10.0,0.3,3
58.0,103.0,251.0,51.0,6.0,2
27.0,28.0,136.0,8.0,0.0001,4
42.0,124.0,1.0,8.0,0.001,4
254.0,5.2,0.001,9.3,88.0,3
88.0,45.0,57.0,15.0,39.0,1
12.0,270.0,0.001,275.0,0.001,2
21.0,42.0,4.0,92.0,0.001,2
12.64,4.58,5.82,3.954,4.75,1
560.0,0.0,0.6,0.7,0.0,6
180.0,175.0,75.0,50.0,4.0,5
625.0,130.0,47.0,2.0,0.0001,4
100.0,200.0,110.0,670.0,11.0,2
5.2,71.3,18.8,103.2,0.4,2
0.001,0.001,9.0,57.0,0.001,2
126.0,251.0,106.0,180.0,26.0,3
55.0,32.0,11.0,12.0,42.0,3
8.0,260.9,59.8,354.8,0.6,2
27.4,63.2,32.7,137.8,0.52,2
36.2,12.6,4.4,15.5,0.0,2
10.0,44.0,106.0,28.0,0.001,4
416.0,695.0,0.0,867.0,74.0,2
24.5,212.9,113.3,313.9,1.7,5
78.0,161.0,86.0,353.0,10.0,2
19.0,48.0,76.0,18.0,0.001,4
183.0,6.0,0.001,5.0,0.001,6
9.0,47.0,144.0,628.0,0.0001,2
107.0,143.0,34.0,222.0,2.0,2
200.0,700.0,250.0,740.0,1.0,5
345.0,112.3,27.5,51.5,58.8,3
11.0,46.0,155.0,18.0,0.001,4
80.0,20.0,6.0,20.0,62.0,3
25.0,9.0,6.0,5.0,44.0,1
16.2,95.9,43.3,172.5,0.5,2
24.6,175.3,95.5,224.6,0.2,5
32.4,5.5,1.4,12.6,13.2,1
179.0,306.0,73.0,579.0,0.001,2
16.0,105.0,224.0,15.0,0.0001,4
82.0,161.0,406.0,79.0,8.9,2
24.0,78.0,266.0,779.0,7.0,5
4.9,228.9,121.3,306.5,0.0,5
107.0,143.0,2.0,222.0,34.0,2
30.0,14.0,1.0,9.0,43.0,1
109.0,102.0,28.0,91.0,0.0001,5
137.0,18.0,16.0,2.0,0.0,6
90.0,160.0,29.0,330.0,54.0,2
6.8,156.5,90.4,191.3,0.0,5
11.0,271.0,465.0,32.0,0.001,4
176.0,205.9,47.7,75.7,68.7,1
80.0,28.0,4.0,15.0,107.0,1
85.87,7.01,4.49,2.64,0.0001,6
90.0,160.0,330.0,54.0,29.0,2
23.9,186.5,99.9,278.9,1.8,5
4.7,113.8,52.3,137.1,0.0,5
6.0,83.9,22.5,120.2,0.0,2
85.0,26.1,12.9,21.0,48.0,1
86.0,277.0,63.0,338.0,0.001,2
