h2,ch4,c2h6,c2h4,c2h2,act
294,27.4,5.6,52.6,338,1
200.83,59.45,41,40.48,150.84,1
71.6,20.2,2.7,34.6,44.2,1
29.3,24.9,7.3,11.4,7.5,1
1170,255,18,312,325,1
255,48,8.3,33,29.8,1
138.5,68.4,0,193.6,137,1
151,51,16,12,19,1
0.0001,21,0.0001,0.0001,40,1
24,13,5,43,319,1
29.1,11.4,1.41,20.34,37.6,1
189,157,17,62,7.4,1
35,11,0.001,7,146,1
41,16,19,58,106,1
123,50.7,9,62,65.9,1
201,36,6,32.3,47.2,1
188,236,18.1,237,31.8,1
545,130,16,153,239,1
65.4,20.2,70,39,40.2,1
150,80,235,105,35,1
77,36,27,18,76,1
75,5,31,69,36,1
420,200,14,230,180,1
615,200,42,102,68,1
673.6,423.5,77.6,88.9,344.5,1
10,15,0.001,0.001,35,1
1000,200,30,400,1000,1
17.0118,13.7574,3.0695,39.571,26.5902,1
512,87,11.5,163.9,185.21,1
46,37.2,8.3,107,71.9,1
100,94,22,304,118,1
70,4,91,0.001,34,1
44.964,8.0935,1.0941,18.8849,26.9784,1
32.5967,15.4696,4.9724,38.674,8.2873,1
61,21,2,26,89,1
39,123,15,121,109,1
20.39,17.18,1.77,24.72,35.96,1
1500,395,28,395,323,1
441,207,43,224,261,1
235,39.45,9.63,210,257,1
43,19,3,0.001,40,1
46,21,1,11,93,1
152,116,7,131,414,1
51.2,37.6,5.1,52.8,51.6,1
191,62,27,123,71,1
673.6,423.5,77.5,988.9,344.4,1
755,229,32,404,460,1
260,130,26,84,92,1
800,1393,304,2817,3000,1
18.5,4.61,0.8,4.2,7.5,1
212,38,15,47,78,1
120,31,0.001,66,94,1
49,41.6,25.1,124,15.7,1
440,89,19,304,757,1
170,24,7,17,54,1
88,45,57,15,39,1
139,52.2,6.8,62.8,9.6,1
26.6,4,0.0001,8,50,1
164,25,6.1,11.4,13.5,1
102,3.9,0.8,7.7,39.2,1
2850,1115,138,1987,3675,1
446,93,7,145,637,1
7020,1850,0.001,2960,4410,1
156,55,103,13,16,1
22,14,19,6,56,1
179,413,27,544,473,1
162,35,5.6,30,44,1
34.45,21.92,3.19,44.96,19.62,1
21,34,5,47,62,1
550.4,70.3,9.4,136.7,100.8,1
48,20,69,41,31,1
57,15,3.1,23,25.3,1
344.1,213,18.6,199.9,257.6,1
243,127,20,122,588,1
62.3063,11.1903,1.8599,10.0123,14.6311,1
70,4,91,0.0001,34,1
217.5,40,4.9,51.8,67.5,1
98,252,95,646,22,1
60,85,5,67,227,1
127,107,11,154,224,1
85,26.1,12.9,21,48,1
310,230,54,610,760,1
323,115,7,130,446,1
158,35,25,10,79,1
8200,3790,250,4620,277,1
34,21,4,49,56,1
279,41,9.7,42,34,1
1230,420,85,1050,1430,1
85,49,4,50,399,1
1570,1110,175,1780,1830,1
531,111.9,22.7,122.5,169,1
12.64,4.58,5.82,3.954,4.75,1
18.34,16.26,3.38,17.95,16.42,1
32.4,5.5,1.4,12.6,13.2,1
594,230,44,130,102,1
88.5,22.8,108.4,12,7.5,1
443,85.2,9.5,102.9,173.9,1
698,457,107.1,860,988.6,1
0.001,21,0.001,0.001,40,1
