h2,ch4,c2h6,c2h4,c2h2,act
117,17,1,3,1,1
407,28,15,21,0.001,1
183,6,0.001,5,0.001,1
166,21,38,6,0.001,1
105,23,13,4,3,1
110,7,0.001,0.001,0.001,1
111.7,19.4,104.1,6.4,3.8,1
181.5,22,76,3.7,0.001,1
230,15.9,16.3,1.9,2.4,1
101,8.1,0.001,3,0.001,1
134,13,156,0.001,0.001,1
1549.2,10.2,0.001,53.19,0.001,1
1458,9,1812,0.001,0.001,1
195,5.3,0.001,0.001,0.001,1
197,12,6.6,15,0.001,1
106,4,2,1,0.001,1
109,4,11,9,0.001,1
109,16,0.001,0.001,0.001,1
116,14,134,5.3,0.001,1
100,18,0.001,0.001,0.001,1
113,21,48,0.001,4,1
103.5,4.7,16.3,3.5,0.001,1
160,24.7,38.5,0.001,0.001,1
134,13,267,0.001,0.001,1
235,16,0.001,35,0.001,1
187,5,1,0.001,0.001,1
121,3,1,0.001,0.001,1
2510,202,139,208,1730,2
109,19,5,12,59,2
135,27,24,9,13,2
174,27,6,12,29,2
179,29,10,17,33,2
142,17,4,7,38,2
595,32,4,18,65,2
720,7,0.001,15,101,2
163,26,7,19,133,2
153,18,9,0.001,278,2
111,2.8,47,0.001,27.5,2
124,14,4,0.001,13,2
143,5.8,16,10.6,26.3,2
137,6,11.4,6.4,16.5,2
102,6,6,7,10,2
115,25.5,110,12.2,8.6,2
169,38,48.5,6.5,5.8,2
186,38.3,13,37,85.9,2
151,13.5,50.7,5,9.2,2
716,7.1,3.3,20,6.8,2
716,7.1,33,20,6.8,2
476,28,27,36,148,2
289,13.4,18.2,49.8,36.3,2
3559,187,22,230,1140,2
4879,262,15,332,1827,2
4127,267,18,355,2060,2
843,133,12,168,385,2
137,33,8,29,111,2
315,60,14,93,218,2
818,94,49,121,978,2
500,97,193,40,121,2
119,8,20,0.001,21,2
205,20,8,0.001,6,2
119,8,23.3,7.9,12.3,2
256,8,37.4,15,21.1,2
153,18,9,0.001,11,2
301,5.78,4.7,9.7,5,2
208,7.6,27.5,9.7,14.4,2
254,5.2,0.001,9.3,88,2
385,28.8,50,82.3,171,2
225,4.7,0.001,8.7,89,2
179,39.3,64,654,168,2
47,9,4,16,81,3
84,6,1,14,86,3
629,402,16,298,1127,3
35,11,0.001,7,146,3
64,18,1,4,122,3
63,22,15,11,76,3
30,14,1,9,43,3
323,115,7,130,446,3
80,28,4,15,107,3
19,12,2,8,63,3
152,116,7,131,414,3
25,9,6,5,44,3
57,148,197,72,42,3
156,55,103,13,16,3
85,49,4,50,399,3
392,153,82,45,236,3
48,20,69,41,31,3
88,21.8,79.2,41.2,41.5,3
50,42,98,10,33,3
43,19,3,0.001,40,3
59,20,120,5.5,8.9,3
292,346,32,313,196,3
0.001,21,0.001,0.001,40,3
26.6,4,0.001,8,50,3
10,15,0.001,0.001,35,3
41,16,19,58,106,3
37,11.8,15.5,43.6,83.3,3
14.3,92.6,83.9,16.7,26.8,3
123,50.7,9,62,65.9,3
2,41,133,9,21,3
26,68,93,31,59,3
77,36,27,18,76,3
46,21,1,11,93,3
25,28,27,15,80,3
243,127,20,122,588,3
88,45,57,15,39,3
61,21,2,26,89,3
151,51,16,12,19,3
75,5,31,69,36,3
71,151,9,89,412,3
87,34,23,15,60,3
114,41,27,15,42,3
60,85,5,67,227,3
46,20,14,10,42,3
22,14,19,6,56,3
70,4,91,0.001,34,3
65.4,20.2,70,39,40.2,3
155,49,69.3,42,10.7,3
88.5,22.8,108.4,12,7.5,3
0.001,0.001,10,5,35,3
34,0.001,0.001,0.001,44,3
12.4,6.5,15.3,69,15,3
215,84.8,87.7,1002,212,3
17,42,192,12,20,3
4,88,213,14,35,3
42,124,1,8,0.001,4
36,167,230,18,0.001,4
10,56,72,70,0.001,4
9,38,93,8,0.001,4
36,21,65,2,0.001,4
161,38,210,13,0.001,4
38,38,296,14,0.001,4
13,59,117,44,0.001,4
10,44,106,28,0.001,4
15,7,92,5,0.001,4
85,98,315,30,0.001,4
74,173,263,33,0.001,4
122,161,271,35,0.001,4
69,174,267,15,0.001,4
113,137,173,34,0.001,4
111,67,105,9,0.001,4
18,30,146,8,0.001,4
21,14,191,90,0.001,4
31.2,8.9,119,4.4,0.001,4
34,8.6,70.3,3.1,0.001,4
10,24,80,5,0.001,4
0.001,43,146,9,0.001,4
0.001,215,555,18.4,0.001,4
0.001,153,395,11.7,0.001,4
0.001,187,609,13,0.001,4
320,131,187,127,0.001,4
13.2,18.7,97.4,79.5,4.7,4
16.4,45.5,68.7,3.8,0.001,4
0.001,116,70,0.001,0.001,4
24,109,69,0.001,0.001,4
0.001,33.7,136,11.4,0.001,4
54.9,8.8,80,2.5,0.001,4
93.5,131.9,39,11.7,0.001,4
16,68,124,15,0.001,4
11,46,155,18,0.001,4
16,68,157,19,0.001,4
29,71,158,20,0.001,4
19,48,76,18,0.001,4
8,16,88,7,0.001,4
10,26,147,6,0.001,4
9,56,135,7,1,4
45,125,111,25,0.001,4
16,105,224,15,0.001,4
10,63,176,35,0.001,4
6,38,93,32,0.001,4
12,28,102,3,0.001,4
27,28,136,8,0.001,4
27,49,192,9,0.001,4
24,47,113,10,0.001,4
43,28,72,9,0.001,4
25,29,137,8,0.001,4
19,62,95,5,0.001,4
157,46,76,12,0.001,4
115,129,316,36,0.001,4
112,68,136,9,0.001,4
11,271,465,32,0.001,4
121,73,179,11,0.001,4
128,35,213,17,0.001,4
16,80,134,10,0.001,4
92,27,67,7,0.001,4
17,21,118,0.001,4,4
36,94,78,13,2,4
6,197,476.9,16.9,0.001,4
24.7,20.4,117,71,6.8,4
820,1740,951,867,128,4
74,100,85,17,0.001,4
39.4,65.2,103.9,8.1,0.001,4
74.8,30.1,82.3,13.6,0.001,4
79,40,264,10,0.001,4
5,14,234,5,0.001,4
15,139,160,343,0.001,5
0.001,6,52,67,0.001,5
26,398,85,319,0.001,5
50,274,95,320,6.3,5
31,63,246,714,7,5
2,5,81,172,0.001,5
3,5,90,185,3,5
16,98,35,64,0.001,5
2,123,7,18,0.001,5
185,302,27,33,0.001,5
14,15,42,73,0.001,5
62,425,276,651,26,5
88.7,460.8,94.9,184.6,18.3,5
119,670,286,934,19,5
109,102,28,91,0.001,5
0.001,4.9,81,172,0.001,5
24,78,266,779,7,5
24,80,258,741,6,5
18,35,2,110,0.001,6
10,4,1,87,0.001,6
8,1,0.001,60,0.001,6
24,20,4,87,0.001,6
21,42,4,92,0.001,6
35,29,7,78,0.001,6
8,88,45,252,0.001,6
0.001,28,64,408,6,6
0.001,100,309,1365,7,6
0.001,106,170,871,6,6
86,480,155,644,9,6
121,450,146,898,116,6
0.001,3.4,0.001,54,0.001,6
11,13,2,127,0.001,6
4,2,1,63,0.001,6
20,26,6,55,0.001,6
34,174,52,361,0.001,6
7,31,23,148,0.001,6
0.001,0.001,0.001,142,0.001,6
89,281,145,1216,22,6
0.001,10,17,68,5,6
39,525,538,2925,16,6
9,47,144,628,0.001,6
53,189,25,295,5,6
12,270,0.001,275,0.001,6
0.001,153,130,677,13,6
27,51,0.001,153,0.001,6
0.001,0.001,9,57,0.001,6
32930,2397,157,0.001,0.001,1
37800,1740,249,8,8,1
8266,1061,22,0.001,0.001,1
9340,995,60,6,7,1
36036,4704,554,5,10,1
33046,619,58,2,0.001,1
40280,1069,1060,1,1,1
26788,18342,2111,27,0.001,1
92600,10200,0.001,0.001,0.001,1
78,20,11,13,28,2
305,100,33,161,541,2
35,6,3,26,482,2
543,120,41,411,1880,2
1230,163,27,233,692,2
645,86,13,110,317,2
60,10,4,4,4,2
95,10,0.001,11,39,2
6870,1028,79,900,5500,2
10092,5399,530,6500,37565,2
650,81,170,51,270,2
210,22,6,6,7,2
385,60,8,53,159,2
4230,690,5,196,1180,2
595,80,9,89,244,2
120,25,1,8,40,2
6454,2313,121,2159,6432,2
2177,1049,207,440,705,2
1790,580,321,336,619,2
1330,10,20,66,182,2
4,1,2,7,52,2
1900,285,31,957,7730,2
57,24,2,27,30,2
1000,500,1,400,500,2
440,89,19,304,757,3
210,43,12,102,187,3
2850,1115,138,1987,3675,3
7020,1850,0.001,2960,4410,3
545,130,16,153,239,3
7150,1440,97,1210,1760,3
620,325,38,181,244,3
120,31,0.001,66,94,3
755,229,32,404,460,3
5100,1430,0.001,1140,1010,3
13500,6110,212,4510,4040,3
1570,1110,175,1780,1830,3
3090,5020,323,3800,2540,3
1820,405,35,365,634,3
535,160,16,305,680,3
13,3,1,3,6,3
137,67,7,53,104,3
1084,188,8,166,769,3
34,21,4,49,56,3
7940,2000,355,3120,5390,3
150,130,9,55,30,3
8200,3790,250,4620,5830,3
260,215,35,334,277,3
75,15,7,14,26,3
530,345,85,266,250,3
60,5,2,21,21,3
90,28,8,31,32,3
220,77,22,170,240,3
5900,1500,68,1200,2300,3
420,250,41,530,800,3
2800,2800,234,3500,3600,3
99,170,20,200,190,3
310,230,54,610,760,3
800,160,23,260,600,3
1500,395,28,395,323,3
20000,13000,1850,29000,57000,3
305,85,25,197,130,3
1900,530,35,383,434,3
110,62,90,140,250,3
3700,1690,128,2810,3270,3
2770,660,54,712,763,3
245,120,18,131,167,3
1170,255,18,312,325,3
4419,3564,668,2861,2025,3
810,580,111,570,490,3
5000,1200,83,1000,1100,3
10000,6730,345,7330,10400,3
1570,735,87,1330,1740,3
8800,64064,72128,95650,0.001,6
6709,10500,1400,17700,750,6
1100,1600,221,2010,26,6
290,966,299,1810,57,6
2500,10500,4790,13500,6,6
1860,4980,0.001,10700,1600,6
860,1670,30,2050,40,6
150,22,9,60,11,6
400,940,210,820,24,6
6,2990,29990,26076,67,6
100,200,110,670,11,6
290,1260,231,820,8,6
1550,2740,816,5450,184,6
3910,4290,626,6040,1230,6
12705,23498,6047,34257,5188,6
1,8,8,100,6,6
300,700,280,1700,36,6
