Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
ExtraTreesEntr,0.85625,0.8302664264551742,0.8579494273531978,0.8630254982086878,"[[21  0  5  0  0  0]
 [ 1 54  1  1  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 0  0  2  1  0 10]]"
XGBoost,0.875,0.8692376387476206,0.8767242160634143,0.8798654183460217,"[[22  0  3  0  0  1]
 [ 1 52  2  2  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
RandomForestGini,0.8875,0.8636628042254176,0.8881987577639754,0.8931936462324395,"[[23  0  3  0  0  0]
 [ 0 55  1  1  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
ExtraTreesGini,0.85625,0.823193040071443,0.8583501683501684,0.8663137181409295,"[[21  0  5  0  0  0]
 [ 1 54  1  1  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  1  0  9]]"
RandomForestEntr,0.86875,0.8389375295001429,0.8709347960921188,0.8766431516384664,"[[21  0  5  0  0  0]
 [ 0 55  1  1  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  0  0 10]]"
LightGBMLarge,0.86875,0.8548908744008563,0.8699385856883589,0.8749500380145541,"[[23  0  2  0  0  1]
 [ 1 52  2  1  1  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
LightGBMXT,0.875,0.8600042325087697,0.8771456804065499,0.884460005574136,"[[23  0  3  0  0  0]
 [ 1 53  2  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  4  0 25  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
LightGBM,0.875,0.8565179527067004,0.8764423217684089,0.8805999145157692,"[[22  0  3  0  0  1]
 [ 0 54  2  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  4  0 25  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
NeuralNetTorch,0.83125,0.8045539356791626,0.833652737219398,0.8412660256410256,"[[20  0  6  0  0  0]
 [ 1 53  2  1  0  0]
 [ 5  0 15  0  0  1]
 [ 0  4  0 23  2  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  1  0  9]]"
NeuralNetFastAI,0.69375,0.6334736044354918,0.685423877490336,0.6847365196078431,"[[22  0  4  0  0  0]
 [ 1 45  1  4  6  0]
 [10  0  9  1  0  1]
 [ 0  5  0 22  0  2]
 [ 0  7  0  3  4  0]
 [ 1  0  3  0  0  9]]"
KNeighborsDist,0.7625,0.7509905400105037,0.7638676018299095,0.7838106684981685,"[[17  1  4  3  1  0]
 [ 0 47  1  4  5  0]
 [ 4  1 13  2  1  0]
 [ 1  3  2 23  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  3  0  8]]"
KNeighborsUnif,0.6375,0.6027530142775152,0.6408426257171882,0.6544464869281046,"[[16  1  3  4  2  0]
 [ 0 43  1  6  7  0]
 [ 5  2  7  4  1  2]
 [ 4  3  2 19  1  0]
 [ 1  2  0  2  9  0]
 [ 0  0  4  1  0  8]]"
