Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
ExtraTreesEntr,0.8875,0.8692099390828973,0.8872502587571562,0.8949634273772205,"[[24  0  2  0  0  0]
 [ 1 55  1  0  0  0]
 [ 8  0 13  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
XGBoost,0.8875,0.8736878668820593,0.8894519307526627,0.8964712771920433,"[[23  0  3  0  0  0]
 [ 2 53  1  1  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
RandomForestGini,0.9,0.8780095685721819,0.9002523291925465,0.904860312899106,"[[24  0  2  0  0  0]
 [ 0 55  1  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
ExtraTreesGini,0.875,0.8484529183258765,0.8744834654741462,0.8860655727808366,"[[24  0  2  0  0  0]
 [ 1 55  1  0  0  0]
 [ 9  0 12  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
RandomForestEntr,0.90625,0.8809335451803691,0.9065170418037736,0.911885593220339,"[[24  0  2  0  0  0]
 [ 0 56  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
LightGBMLarge,0.86875,0.8544570976512901,0.8701414025130292,0.875492496807152,"[[20  2  4  0  0  0]
 [ 1 53  1  1  1  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
LightGBMXT,0.89375,0.8750855919639949,0.8945179128839129,0.9019791666666667,"[[24  0  2  0  0  0]
 [ 1 54  1  0  1  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
LightGBM,0.8875,0.8686753355537383,0.8896954128801398,0.8977466048736209,"[[23  0  3  0  0  0]
 [ 0 54  2  0  1  0]
 [ 6  0 15  0  0  0]
 [ 1  2  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
NeuralNetTorch,0.8,0.7664502768858487,0.7996695402298851,0.804198593347442,"[[21  1  4  0  0  0]
 [ 0 53  2  1  1  0]
 [ 9  0 10  1  0  1]
 [ 2  3  0 22  2  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
NeuralNetFastAI,0.75625,0.7394392258276107,0.7613132352538627,0.776536090023044,"[[14  0 11  1  0  0]
 [ 0 49  2  3  3  0]
 [ 6  0 13  1  0  1]
 [ 0  4  0 23  2  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
KNeighborsDist,0.8,0.7798286609538878,0.8030326240025237,0.8117150735294117,"[[16  0  8  0  0  2]
 [ 0 53  2  0  2  0]
 [ 8  1 12  0  0  0]
 [ 1  3  1 23  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  1  0 10]]"
KNeighborsUnif,0.7125,0.6839130319166618,0.7107384893685827,0.7113645577848364,"[[15  0  7  2  0  2]
 [ 2 50  0  2  3  0]
 [ 7  2  7  2  0  3]
 [ 1  3  3 20  2  0]
 [ 0  0  0  2 12  0]
 [ 1  0  2  0  0 10]]"
