model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForestEntr,0.9,0.8333333333333334,accuracy,0.2934000492095947,0.20196151733398438,1.9072551727294922,0.2934000492095947,0.20196151733398438,1.9072551727294922,1,True,7
RandomForestGini,0.9,0.8229166666666666,accuracy,0.33114027976989746,0.1535952091217041,2.5025405883789062,0.33114027976989746,0.1535952091217041,2.5025405883789062,1,True,6
ExtraTreesEntr,0.8875,0.8263888888888888,accuracy,0.41809916496276855,0.21715879440307617,2.82285475730896,0.41809916496276855,0.21715879440307617,2.82285475730896,1,True,10
XGBoost,0.88125,0.8333333333333334,accuracy,0.09412693977355957,0.012056112289428711,9.259367227554321,0.09412693977355957,0.012056112289428711,9.259367227554321,1,True,11
LightGBMLarge,0.88125,0.8472222222222222,accuracy,0.11499476432800293,0.029998779296875,5.997798204421997,0.11499476432800293,0.029998779296875,5.997798204421997,1,True,13
ExtraTreesGini,0.88125,0.8298611111111112,accuracy,0.24702048301696777,0.4328746795654297,2.7399377822875977,0.24702048301696777,0.4328746795654297,2.7399377822875977,1,True,9
WeightedEnsemble_L2,0.86875,0.8645833333333334,accuracy,0.2978055477142334,0.22670435905456543,47.4020938873291,0.00900578498840332,0.0020012855529785156,0.2718970775604248,2,True,14
CatBoost,0.8625,0.8263888888888888,accuracy,0.018991470336914062,0.004002094268798828,16.796958923339844,0.018991470336914062,0.004002094268798828,16.796958923339844,1,True,8
LightGBM,0.8625,0.8472222222222222,accuracy,0.07241129875183105,0.17642974853515625,3.7381937503814697,0.07241129875183105,0.17642974853515625,3.7381937503814697,1,True,5
LightGBMXT,0.8625,0.8541666666666666,accuracy,0.14943647384643555,0.13516521453857422,3.804588556289673,0.14943647384643555,0.13516521453857422,3.804588556289673,1,True,4
NeuralNetTorch,0.8125,0.8090277777777778,accuracy,0.048731327056884766,0.021993637084960938,38.62019181251526,0.048731327056884766,0.021993637084960938,38.62019181251526,1,True,12
NeuralNetFastAI,0.8,0.78125,accuracy,0.043646812438964844,0.02500009536743164,4.687424898147583,0.043646812438964844,0.02500009536743164,4.687424898147583,1,True,3
KNeighborsDist,0.8,0.7881944444444444,accuracy,0.04698514938354492,0.04254412651062012,0.01799154281616211,0.04698514938354492,0.04254412651062012,0.01799154281616211,1,True,2
KNeighborsUnif,0.7125,0.7013888888888888,accuracy,0.03999900817871094,0.060994625091552734,0.02699756622314453,0.03999900817871094,0.060994625091552734,0.02699756622314453,1,True,1
