Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
ExtraTreesEntr,0.9,0.9,0.9011,0.906,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
ExtraTreesGini,0.8938,0.8938,0.8952,0.9022,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
WeightedEnsemble_L2,0.875,0.875,0.8765,0.8824,"[[21  0  5  0  0  0]
 [ 0 56  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 1  0  2  0  0 10]]"
XGBoost,0.8688,0.8688,0.8724,0.883,"[[22  0  4  0  0  0]
 [ 3 53  1  0  0  0]
 [ 6  1 14  0  0  0]
 [ 1  2  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
RandomForestEntr,0.8688,0.8688,0.8699,0.8733,"[[21  0  4  1  0  0]
 [ 1 55  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 0  0  2  0  0 11]]"
LightGBMLarge,0.8688,0.8688,0.8697,0.8751,"[[21  0  5  0  0  0]
 [ 1 55  1  0  0  0]
 [ 8  1 12  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
CatBoost,0.8625,0.8625,0.8638,0.8699,"[[21  0  5  0  0  0]
 [ 0 56  1  0  0  0]
 [ 8  0 13  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 1  0  2  0  0 10]]"
RandomForestGini,0.8625,0.8625,0.8645,0.8709,"[[20  0  6  0  0  0]
 [ 0 56  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 1  0  2  0  0 10]]"
LightGBMXT,0.8625,0.8625,0.8631,0.8679,"[[22  0  4  0  0  0]
 [ 1 54  1  1  0  0]
 [ 7  0 13  0  0  1]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
LightGBM,0.8438,0.8438,0.8467,0.8554,"[[21  0  5  0  0  0]
 [ 2 52  1  2  0  0]
 [ 7  1 13  0  0  0]
 [ 1  2  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
NeuralNetTorch,0.825,0.825,0.8267,0.8314,"[[20  0  6  0  0  0]
 [ 1 53  1  2  0  0]
 [ 8  0 11  1  0  1]
 [ 0  3  0 26  0  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
NeuralNetFastAI,0.775,0.775,0.7733,0.7744,"[[19  1  6  0  0  0]
 [ 1 52  2  1  1  0]
 [10  0  8  1  0  2]
 [ 0  4  0 24  1  0]
 [ 0  1  0  2 11  0]
 [ 1  0  2  0  0 10]]"
KNeighborsDist,0.725,0.725,0.7199,0.7278,"[[17  0  7  0  0  2]
 [ 1 51  1  0  2  2]
 [ 7  0 14  0  0  0]
 [ 1  7  0 17  4  0]
 [ 0  2  0  0 12  0]
 [ 0  1  3  4  0  5]]"
KNeighborsUnif,0.6125,0.6125,0.6062,0.61,"[[17  0  7  0  0  2]
 [ 2 46  0  2  4  3]
 [ 8  0  9  2  0  2]
 [ 2  9  2 13  3  0]
 [ 0  1  0  2 10  1]
 [ 1  4  3  1  1  3]]"
