Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
CatBoost,0.85,0.8217194179081654,0.8492356050382366,0.8518209780810586,"[[22  0  4  0  0  0]
 [ 1 54  1  1  0  0]
 [ 7  0 12  1  0  1]
 [ 0  3  0 25  1  0]
 [ 0  0  0  2 12  0]
 [ 1  0  1  0  0 11]]"
ExtraTreesEntr,0.8875,0.8729255721088752,0.8881682874027945,0.8945974576271187,"[[23  0  3  0  0  0]
 [ 0 55  2  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  4  0 24  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
XGBoost,0.8875,0.8737886936616519,0.8896537871656415,0.8958788314176245,"[[21  0  5  0  0  0]
 [ 0 55  2  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
RandomForestGini,0.9,0.8859460765086898,0.9017780912001715,0.9065536833855798,"[[22  0  4  0  0  0]
 [ 1 55  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
ExtraTreesGini,0.88125,0.8671784456720935,0.8814112974278387,0.8897311827956988,"[[23  0  3  0  0  0]
 [ 1 55  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  5  0 23  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
RandomForestEntr,0.8875,0.8772749734637211,0.8896389893946528,0.8962878787878787,"[[22  0  4  0  0  0]
 [ 2 54  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
WeightedEnsemble_L2,0.875,0.8637913306697335,0.8776255053908356,0.882638888888889,"[[19  0  6  1  0  0]
 [ 2 54  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
LightGBMLarge,0.875,0.8637913306697335,0.8776255053908356,0.882638888888889,"[[19  0  6  1  0  0]
 [ 2 54  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
LightGBMXT,0.90625,0.8880069315641003,0.9054955642218573,0.9091498476063039,"[[24  0  2  0  0  0]
 [ 0 56  1  0  0  0]
 [ 5  0 15  0  0  1]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
LightGBM,0.8875,0.8737886936616519,0.8893903032700822,0.8951692903548226,"[[21  0  5  0  0  0]
 [ 1 55  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
NeuralNetTorch,0.78125,0.7566573374195878,0.7782991566271819,0.7844455207397425,"[[22  0  4  0  0  0]
 [ 0 50  4  1  2  0]
 [13  0  6  1  0  1]
 [ 0  3  1 24  1  0]
 [ 0  0  0  2 12  0]
 [ 1  0  1  0  0 11]]"
NeuralNetFastAI,0.79375,0.7590190108338928,0.7853090620533227,0.7907917692939246,"[[21  1  4  0  0  0]
 [ 1 53  1  1  1  0]
 [13  0  6  1  0  1]
 [ 0  4  0 24  1  0]
 [ 0  0  0  2 12  0]
 [ 1  0  1  0  0 11]]"
KNeighborsDist,0.81875,0.80211193323716,0.8225750351502935,0.8341470790239172,"[[17  0  6  0  0  3]
 [ 0 53  2  0  2  0]
 [ 7  0 14  0  0  0]
 [ 1  3  1 23  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
KNeighborsUnif,0.75,0.7162651323268383,0.7480102891413732,0.748561507936508,"[[17  0  6  1  0  2]
 [ 2 52  0  1  2  0]
 [ 7  1  8  2  0  3]
 [ 1  3  2 21  2  0]
 [ 0  0  0  2 12  0]
 [ 1  0  2  0  0 10]]"
