model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesEntr,0.9,0.8368055555555556,accuracy,0.2173912525177002,0.1694478988647461,1.5939183235168457,0.2173912525177002,0.1694478988647461,1.5939183235168457,1,True,10
ExtraTreesGini,0.89375,0.8368055555555556,accuracy,0.27942895889282227,0.15389680862426758,1.781698226928711,0.27942895889282227,0.15389680862426758,1.781698226928711,1,True,9
WeightedEnsemble_L2,0.875,0.8611111111111112,accuracy,0.47176647186279297,0.24932146072387695,9.216939449310303,0.0,0.0,0.2970304489135742,2,True,14
XGBoost,0.86875,0.8402777777777778,accuracy,0.0857393741607666,0.03326272964477539,2.5249440670013428,0.0857393741607666,0.03326272964477539,2.5249440670013428,1,True,11
LightGBMLarge,0.86875,0.84375,accuracy,0.09979510307312012,0.012014627456665039,6.182371616363525,0.09979510307312012,0.012014627456665039,6.182371616363525,1,True,13
RandomForestEntr,0.86875,0.8402777777777778,accuracy,0.23543953895568848,0.1678307056427002,1.961674690246582,0.23543953895568848,0.1678307056427002,1.961674690246582,1,True,7
CatBoost,0.8625,0.8333333333333334,accuracy,0.018264293670654297,0.0,23.812880516052246,0.018264293670654297,0.0,23.812880516052246,1,True,8
LightGBMXT,0.8625,0.8541666666666666,accuracy,0.17290616035461426,0.07980632781982422,2.9422731399536133,0.17290616035461426,0.07980632781982422,2.9422731399536133,1,True,4
RandomForestGini,0.8625,0.8402777777777778,accuracy,0.23290777206420898,0.1660020351409912,1.9673950672149658,0.23290777206420898,0.1660020351409912,1.9673950672149658,1,True,6
LightGBM,0.84375,0.84375,accuracy,0.12726998329162598,0.015647411346435547,2.2321484088897705,0.12726998329162598,0.015647411346435547,2.2321484088897705,1,True,5
NeuralNetTorch,0.825,0.8055555555555556,accuracy,0.03438210487365723,0.016221046447753906,20.651336908340454,0.03438210487365723,0.016221046447753906,20.651336908340454,1,True,12
NeuralNetFastAI,0.775,0.7777777777777778,accuracy,0.019431352615356445,0.015618324279785156,4.195937633514404,0.019431352615356445,0.015618324279785156,4.195937633514404,1,True,3
KNeighborsDist,0.725,0.7048611111111112,accuracy,0.03931617736816406,0.020653486251831055,0.014000415802001953,0.03931617736816406,0.020653486251831055,0.014000415802001953,1,True,2
KNeighborsUnif,0.6125,0.6111111111111112,accuracy,0.03338479995727539,0.031736135482788086,0.01239156723022461,0.03338479995727539,0.031736135482788086,0.01239156723022461,1,True,1
