Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
CatBoost,0.8938 ,0.8938 ,0.8945 ,0.8980 ,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 1  0  1  0  0 11]]"
ExtraTreesEntr,0.8938 ,0.8938 ,0.8947 ,0.8995 ,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
XGBoost,0.8875 ,0.8875 ,0.8895 ,0.8965 ,"[[22  0  4  0  0  0]
 [ 0 55  2  0  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 2  0  1  0  0 10]]"
RandomForestGini,0.8875 ,0.8875 ,0.8904 ,0.8968 ,"[[20  0  6  0  0  0]
 [ 0 55  2  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
ExtraTreesGini,0.8875 ,0.8875 ,0.8883 ,0.8931 ,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
RandomForestEntr,0.8875 ,0.8875 ,0.8901 ,0.8957 ,"[[20  0  6  0  0  0]
 [ 1 55  1  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
WeightedEnsemble_L2,0.8875 ,0.8875 ,0.8904 ,0.8968 ,"[[20  0  6  0  0  0]
 [ 0 55  2  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
LightGBMLarge,0.8813 ,0.8813 ,0.8839 ,0.8911 ,"[[20  0  6  0  0  0]
 [ 0 55  2  0  0  0]
 [ 5  0 16  0  0  0]
 [ 0  4  0 25  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  1  0  0 11]]"
LightGBMXT,0.8813 ,0.8813 ,0.8824 ,0.8879 ,"[[23  0  3  0  0  0]
 [ 1 54  1  1  0  0]
 [ 5  0 16  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  1 13  0]
 [ 1  0  2  0  0 10]]"
LightGBM,0.8625 ,0.8625 ,0.8651 ,0.8724 ,"[[20  0  6  0  0  0]
 [ 1 54  1  1  0  0]
 [ 6  0 15  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 2  0  1  0  0 10]]"
NeuralNetTorch,0.8438 ,0.8438 ,0.8474 ,0.8592 ,"[[19  0  6  0  0  1]
 [ 0 54  2  0  1  0]
 [ 4  0 16  0  0  1]
 [ 0  3  1 23  2  0]
 [ 0  0  0  1 13  0]
 [ 0  0  3  0  0 10]]"
NeuralNetFastAI,0.8250 ,0.8250 ,0.8243 ,0.8251 ,"[[20  1  5  0  0  0]
 [ 0 54  1  1  1  0]
 [ 8  0 11  1  0  1]
 [ 0  3  0 25  1  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
KNeighborsDist,0.8188 ,0.8188 ,0.8226 ,0.8341 ,"[[17  0  6  0  0  3]
 [ 0 53  2  0  2  0]
 [ 7  0 14  0  0  0]
 [ 1  3  1 23  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
KNeighborsUnif,0.7500 ,0.7500 ,0.7480 ,0.7486 ,"[[17  0  6  1  0  2]
 [ 2 52  0  1  2  0]
 [ 7  1  8  2  0  3]
 [ 1  3  2 21  2  0]
 [ 0  0  0  2 12  0]
 [ 1  0  2  0  0 10]]"
