model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoost,0.89375,0.8263888888888888,accuracy,0.025720596313476562,0.015625,17.719659090042114,0.025720596313476562,0.015625,17.719659090042114,1,True,8
ExtraTreesEntr,0.89375,0.8402777777777778,accuracy,0.3220531940460205,0.14399433135986328,1.460108757019043,0.3220531940460205,0.14399433135986328,1.460108757019043,1,True,10
XGBoost,0.8875,0.8159722222222222,accuracy,0.08939981460571289,0.008629083633422852,9.871269702911377,0.08939981460571289,0.008629083633422852,9.871269702911377,1,True,11
ExtraTreesGini,0.8875,0.84375,accuracy,0.23946094512939453,0.12500786781311035,1.5729424953460693,0.23946094512939453,0.12500786781311035,1.5729424953460693,1,True,9
RandomForestEntr,0.8875,0.8506944444444444,accuracy,0.24343109130859375,0.1255481243133545,1.5474886894226074,0.24343109130859375,0.1255481243133545,1.5474886894226074,1,True,7
RandomForestGini,0.8875,0.8541666666666666,accuracy,0.2694978713989258,0.1241147518157959,2.3552072048187256,0.2694978713989258,0.1241147518157959,2.3552072048187256,1,True,6
WeightedEnsemble_L2,0.8875,0.8576388888888888,accuracy,0.4407222270965576,0.2178637981414795,5.579262971878052,0.0,0.0,0.24833106994628906,2,True,14
LightGBMLarge,0.88125,0.8298611111111112,accuracy,0.11541581153869629,0.03127932548522949,3.7782299518585205,0.11541581153869629,0.03127932548522949,3.7782299518585205,1,True,13
LightGBMXT,0.88125,0.8368055555555556,accuracy,0.17122435569763184,0.0937490463256836,2.975724697113037,0.17122435569763184,0.0937490463256836,2.975724697113037,1,True,4
LightGBM,0.8625,0.8333333333333334,accuracy,0.16697216033935547,0.05718421936035156,2.3968639373779297,0.16697216033935547,0.05718421936035156,2.3968639373779297,1,True,5
NeuralNetTorch,0.84375,0.8368055555555556,accuracy,0.033429622650146484,0.015620708465576172,91.53066897392273,0.033429622650146484,0.015620708465576172,91.53066897392273,1,True,12
NeuralNetFastAI,0.825,0.7777777777777778,accuracy,0.030459165573120117,0.01872420310974121,7.6591551303863525,0.030459165573120117,0.01872420310974121,7.6591551303863525,1,True,3
KNeighborsDist,0.81875,0.7986111111111112,accuracy,0.026334047317504883,0.030673742294311523,0.0,0.026334047317504883,0.030673742294311523,0.0,1,True,2
KNeighborsUnif,0.75,0.7291666666666666,accuracy,0.027371644973754883,0.031168699264526367,9.068021297454834,0.027371644973754883,0.031168699264526367,9.068021297454834,1,True,1
