model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
ExtraTreesGini,0.9,0.8368055555555556,accuracy,0.1600327491760254,0.13799643516540527,1.8348593711853027,0.1600327491760254,0.13799643516540527,1.8348593711853027,1,True,9
ExtraTreesEntr,0.89375,0.8402777777777778,accuracy,0.15314960479736328,0.0925745964050293,1.3403100967407227,0.15314960479736328,0.0925745964050293,1.3403100967407227,1,True,10
RandomForestEntr,0.88125,0.8506944444444444,accuracy,0.13784217834472656,0.18663597106933594,2.0386104583740234,0.13784217834472656,0.18663597106933594,2.0386104583740234,1,True,7
LightGBMLarge,0.875,0.8472222222222222,accuracy,0.042005300521850586,0.015999317169189453,4.053422212600708,0.042005300521850586,0.015999317169189453,4.053422212600708,1,True,13
RandomForestGini,0.875,0.84375,accuracy,0.17859435081481934,0.15468430519104004,1.6507277488708496,0.17859435081481934,0.15468430519104004,1.6507277488708496,1,True,6
WeightedEnsemble_L2,0.86875,0.8645833333333334,accuracy,0.2128312587738037,0.20763778686523438,4.393419027328491,0.004992485046386719,0.002002716064453125,0.33062076568603516,2,True,14
XGBoost,0.8625,0.8541666666666666,accuracy,0.06399679183959961,0.00599980354309082,1.767500877380371,0.06399679183959961,0.00599980354309082,1.767500877380371,1,True,11
LightGBMXT,0.8625,0.8576388888888888,accuracy,0.06999659538269043,0.018999099731445312,2.0241878032684326,0.06999659538269043,0.018999099731445312,2.0241878032684326,1,True,4
CatBoost,0.85625,0.8298611111111112,accuracy,0.010000944137573242,0.004001140594482422,17.271475315093994,0.010000944137573242,0.004001140594482422,17.271475315093994,1,True,8
LightGBM,0.85,0.8541666666666666,accuracy,0.036000967025756836,0.008012056350708008,1.6048378944396973,0.036000967025756836,0.008012056350708008,1.6048378944396973,1,True,5
NeuralNetFastAI,0.80625,0.78125,accuracy,0.02000141143798828,0.01900315284729004,3.2091879844665527,0.02000141143798828,0.01900315284729004,3.2091879844665527,1,True,3
KNeighborsDist,0.80625,0.7847222222222222,accuracy,0.030002355575561523,0.03499436378479004,0.012995481491088867,0.030002355575561523,0.03499436378479004,0.012995481491088867,1,True,2
NeuralNetTorch,0.79375,0.7986111111111112,accuracy,0.019585132598876953,0.028467893600463867,10.080220222473145,0.019585132598876953,0.028467893600463867,10.080220222473145,1,True,12
KNeighborsUnif,0.73125,0.7048611111111112,accuracy,0.03955864906311035,0.03599667549133301,0.017002582550048828,0.03955864906311035,0.03599667549133301,0.017002582550048828,1,True,1
