Model,Accuracy,Recall,F1 Score,Precision,Confusion Matrix
ExtraTreesEntr,0.8875,0.8672499108070796,0.8882515166028095,0.8930781219559712,"[[22  0  4  0  0  0]
 [ 0 56  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
XGBoost,0.85625,0.8420703615803434,0.8605464042678002,0.8700810764932434,"[[21  0  5  0  0  0]
 [ 1 52  2  2  0  0]
 [ 7  0 14  0  0  0]
 [ 1  2  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
RandomForestGini,0.8625,0.8364955270581406,0.8660153162055335,0.874077023988006,"[[20  0  6  0  0  0]
 [ 0 55  2  0  0  0]
 [ 8  0 13  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
ExtraTreesGini,0.89375,0.873660167217336,0.8938678058014158,0.8987605932203391,"[[23  0  3  0  0  0]
 [ 0 56  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 25  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  2  0  0 11]]"
RandomForestEntr,0.86875,0.8444320349946485,0.8719812252964427,0.8797835457271365,"[[20  0  6  0  0  0]
 [ 1 55  1  0  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
LightGBMLarge,0.85625,0.838584081778274,0.8591875331486426,0.8663717532467533,"[[20  0  5  1  0  0]
 [ 1 53  1  1  1  0]
 [ 7  0 14  0  0  0]
 [ 1  2  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
LightGBMXT,0.86875,0.8514045945987868,0.8718384599721171,0.8795101866229583,"[[22  0  4  0  0  0]
 [ 1 53  2  1  0  0]
 [ 7  0 14  0  0  0]
 [ 0  3  0 26  0  0]
 [ 0  0  0  0 14  0]
 [ 0  0  3  0  0 10]]"
LightGBM,0.85625,0.8357609319496797,0.8611497220875828,0.8714514652014653,"[[20  0  6  0  0  0]
 [ 1 54  1  1  0  0]
 [ 7  0 14  0  0  0]
 [ 1  2  1 25  0  0]
 [ 0  0  0  0 14  0]
 [ 1  0  2  0  0 10]]"
NeuralNetTorch,0.825,0.7879418927513302,0.8216867585753456,0.8269005395827784,"[[23  0  2  1  0  0]
 [ 0 54  2  0  1  0]
 [ 9  0 10  1  0  1]
 [ 1  4  0 23  1  0]
 [ 0  0  0  2 12  0]
 [ 1  0  2  0  0 10]]"
NeuralNetFastAI,0.8125,0.772931998431091,0.811482249555047,0.8139227422656379,"[[21  0  5  0  0  0]
 [ 0 54  2  1  0  0]
 [10  0  9  1  0  1]
 [ 0  4  0 24  1  0]
 [ 0  0  0  2 12  0]
 [ 0  0  3  0  0 10]]"
KNeighborsDist,0.8,0.7897251971662135,0.8029696850139233,0.8109353116246499,"[[16  0  8  0  0  2]
 [ 1 52  2  0  2  0]
 [ 8  1 12  0  0  0]
 [ 1  3  1 23  1  0]
 [ 0  0  0  0 14  0]
 [ 0  0  1  1  0 11]]"
KNeighborsUnif,0.73125,0.7110803090839388,0.730276056455492,0.7327550532542793,"[[16  0  7  1  0  2]
 [ 3 50  0  1  3  0]
 [ 7  2  8  2  0  2]
 [ 1  3  3 20  2  0]
 [ 0  0  0  2 12  0]
 [ 1  0  1  0  0 11]]"
