k_neighbors: 1, Depth: 1, Accuracy: 42.51%
k_neighbors: 1, Depth: 2, Accuracy: 71.78%
k_neighbors: 1, Depth: 3, Accuracy: 76.66%
k_neighbors: 1, Depth: 4, Accuracy: 77.70%
k_neighbors: 1, Depth: 5, Accuracy: 81.18%
k_neighbors: 1, Depth: 6, Accuracy: 81.53%
k_neighbors: 1, Depth: 7, Accuracy: 83.28%
k_neighbors: 1, Depth: 8, Accuracy: 83.62%
k_neighbors: 1, Depth: 9, Accuracy: 84.32%
k_neighbors: 1, Depth: 10, Accuracy: 84.32%
k_neighbors: 1, Depth: 11, Accuracy: 85.02%
k_neighbors: 1, Depth: 12, Accuracy: 84.67%
k_neighbors: 1, Depth: 13, Accuracy: 84.32%
k_neighbors: 1, Depth: 14, Accuracy: 83.97%
k_neighbors: 1, Depth: 15, Accuracy: 84.32%
k_neighbors: 1, Depth: 16, Accuracy: 85.02%
k_neighbors: 1, Depth: 17, Accuracy: 84.67%
k_neighbors: 1, Depth: 18, Accuracy: 84.32%
k_neighbors: 1, Depth: 19, Accuracy: 84.32%
k_neighbors: 1, Depth: 20, Accuracy: 84.32%
k_neighbors: 2, Depth: 1, Accuracy: 42.16%
k_neighbors: 2, Depth: 2, Accuracy: 75.26%
k_neighbors: 2, Depth: 3, Accuracy: 76.31%
k_neighbors: 2, Depth: 4, Accuracy: 78.75%
k_neighbors: 2, Depth: 5, Accuracy: 79.09%
k_neighbors: 2, Depth: 6, Accuracy: 80.84%
k_neighbors: 2, Depth: 7, Accuracy: 83.28%
k_neighbors: 2, Depth: 8, Accuracy: 83.62%
k_neighbors: 2, Depth: 9, Accuracy: 83.28%
k_neighbors: 2, Depth: 10, Accuracy: 82.93%
k_neighbors: 2, Depth: 11, Accuracy: 84.67%
k_neighbors: 2, Depth: 12, Accuracy: 84.67%
k_neighbors: 2, Depth: 13, Accuracy: 84.32%
k_neighbors: 2, Depth: 14, Accuracy: 83.97%
k_neighbors: 2, Depth: 15, Accuracy: 85.02%
k_neighbors: 2, Depth: 16, Accuracy: 84.67%
k_neighbors: 2, Depth: 17, Accuracy: 83.97%
k_neighbors: 2, Depth: 18, Accuracy: 85.02%
k_neighbors: 2, Depth: 19, Accuracy: 84.67%
k_neighbors: 2, Depth: 20, Accuracy: 84.67%
k_neighbors: 3, Depth: 1, Accuracy: 39.72%
k_neighbors: 3, Depth: 2, Accuracy: 66.20%
k_neighbors: 3, Depth: 3, Accuracy: 73.87%
k_neighbors: 3, Depth: 4, Accuracy: 77.00%
k_neighbors: 3, Depth: 5, Accuracy: 80.14%
k_neighbors: 3, Depth: 6, Accuracy: 83.97%
k_neighbors: 3, Depth: 7, Accuracy: 83.28%
k_neighbors: 3, Depth: 8, Accuracy: 83.62%
k_neighbors: 3, Depth: 9, Accuracy: 82.93%
k_neighbors: 3, Depth: 10, Accuracy: 83.97%
k_neighbors: 3, Depth: 11, Accuracy: 83.28%
k_neighbors: 3, Depth: 12, Accuracy: 83.62%
k_neighbors: 3, Depth: 13, Accuracy: 82.93%
k_neighbors: 3, Depth: 14, Accuracy: 82.93%
k_neighbors: 3, Depth: 15, Accuracy: 83.97%
k_neighbors: 3, Depth: 16, Accuracy: 82.93%
k_neighbors: 3, Depth: 17, Accuracy: 81.88%
k_neighbors: 3, Depth: 18, Accuracy: 82.23%
k_neighbors: 3, Depth: 19, Accuracy: 82.23%
k_neighbors: 3, Depth: 20, Accuracy: 82.23%
