k_neighbors: 1, Depth: 1, Accuracy: 53.66%
k_neighbors: 1, Depth: 2, Accuracy: 69.34%
k_neighbors: 1, Depth: 3, Accuracy: 71.08%
k_neighbors: 1, Depth: 4, Accuracy: 71.43%
k_neighbors: 1, Depth: 5, Accuracy: 74.56%
k_neighbors: 1, Depth: 6, Accuracy: 78.75%
k_neighbors: 1, Depth: 7, Accuracy: 79.44%
k_neighbors: 1, Depth: 8, Accuracy: 80.84%
k_neighbors: 1, Depth: 9, Accuracy: 82.23%
k_neighbors: 1, Depth: 10, Accuracy: 79.79%
k_neighbors: 1, Depth: 11, Accuracy: 80.84%
k_neighbors: 1, Depth: 12, Accuracy: 81.18%
k_neighbors: 1, Depth: 13, Accuracy: 81.53%
k_neighbors: 1, Depth: 14, Accuracy: 81.88%
k_neighbors: 1, Depth: 15, Accuracy: 81.88%
k_neighbors: 1, Depth: 16, Accuracy: 81.18%
k_neighbors: 1, Depth: 17, Accuracy: 81.53%
k_neighbors: 1, Depth: 18, Accuracy: 81.53%
k_neighbors: 1, Depth: 19, Accuracy: 80.84%
k_neighbors: 1, Depth: 20, Accuracy: 81.53%
k_neighbors: 2, Depth: 1, Accuracy: 52.61%
k_neighbors: 2, Depth: 2, Accuracy: 70.73%
k_neighbors: 2, Depth: 3, Accuracy: 71.78%
k_neighbors: 2, Depth: 4, Accuracy: 74.56%
k_neighbors: 2, Depth: 5, Accuracy: 77.35%
k_neighbors: 2, Depth: 6, Accuracy: 78.40%
k_neighbors: 2, Depth: 7, Accuracy: 80.14%
k_neighbors: 2, Depth: 8, Accuracy: 81.18%
k_neighbors: 2, Depth: 9, Accuracy: 82.23%
k_neighbors: 2, Depth: 10, Accuracy: 81.18%
k_neighbors: 2, Depth: 11, Accuracy: 81.88%
k_neighbors: 2, Depth: 12, Accuracy: 81.18%
k_neighbors: 2, Depth: 13, Accuracy: 81.18%
k_neighbors: 2, Depth: 14, Accuracy: 80.14%
k_neighbors: 2, Depth: 15, Accuracy: 81.53%
k_neighbors: 2, Depth: 16, Accuracy: 81.88%
k_neighbors: 2, Depth: 17, Accuracy: 81.53%
k_neighbors: 2, Depth: 18, Accuracy: 81.18%
k_neighbors: 2, Depth: 19, Accuracy: 81.18%
k_neighbors: 2, Depth: 20, Accuracy: 81.53%
k_neighbors: 3, Depth: 1, Accuracy: 50.17%
k_neighbors: 3, Depth: 2, Accuracy: 68.99%
k_neighbors: 3, Depth: 3, Accuracy: 71.08%
k_neighbors: 3, Depth: 4, Accuracy: 72.13%
k_neighbors: 3, Depth: 5, Accuracy: 75.61%
k_neighbors: 3, Depth: 6, Accuracy: 80.84%
k_neighbors: 3, Depth: 7, Accuracy: 79.44%
k_neighbors: 3, Depth: 8, Accuracy: 81.18%
k_neighbors: 3, Depth: 9, Accuracy: 81.53%
k_neighbors: 3, Depth: 10, Accuracy: 81.18%
k_neighbors: 3, Depth: 11, Accuracy: 82.23%
k_neighbors: 3, Depth: 12, Accuracy: 82.58%
k_neighbors: 3, Depth: 13, Accuracy: 83.62%
k_neighbors: 3, Depth: 14, Accuracy: 82.93%
k_neighbors: 3, Depth: 15, Accuracy: 83.28%
k_neighbors: 3, Depth: 16, Accuracy: 82.58%
k_neighbors: 3, Depth: 17, Accuracy: 82.23%
k_neighbors: 3, Depth: 18, Accuracy: 82.58%
k_neighbors: 3, Depth: 19, Accuracy: 83.28%
k_neighbors: 3, Depth: 20, Accuracy: 83.28%
k_neighbors: 4, Depth: 1, Accuracy: 53.31%
k_neighbors: 4, Depth: 2, Accuracy: 70.03%
k_neighbors: 4, Depth: 3, Accuracy: 70.38%
